Title,Price in Tenge,Operating system,Display diagonal,Memory(GB),Main Camera,Front Camera,Delivery,Manufacturer,Features,Color
Смартфон BQ 6022G Aura Violet,36666,Android,"5.99""",16Гб,8,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:960x480, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:6022G, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",фиолетовый
Смартфон BQ 6630L Magic L Wine Red,60000,Android 10,"6.53""",32МБ,"12 + 0,3",8,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:6630L, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",красный
Смартфон BQ-5745L Clever Синий,38266,Android 10,"5.7""",32МБ,5,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:1440x720, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:5745L, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",синий
Смартфон BQ 5533G Fresh Night Blue,32200,Android 10,"5.45""",16Гб,2,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:960x480, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:5533G, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",темно-синий
Смартфон BQ-6645L Element Мятно-Розовый,59333,Android 11,"6.52""",32Гб,13,5,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:1200 x 540, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:6645L, Цвет передней панели:чёрный, Автофокусировка:есть, Встроенная вспышка:нет, ",розовый
Смартфон BQ-6645L Element Черный Графит,58533,Android 11,"6.52""",32МБ,13,5,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:1200 x 540, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:6645L, Цвет передней панели:чёрный, Автофокусировка:есть, Встроенная вспышка:нет, ",чёрный
"Смартфон Samsung Galaxy Z Flip 3 (new)128GB, green",549890,Android 11,"6.7""",128Мб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",зеленый
"Смартфон Xiaomi Redmi 10 4/64GB, Pebble White",79990,Android,"6.5""",64МБ,50,8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 10, Цвет передней панели:чёрный, Серия смартфона:Redmi 10, Автофокусировка:нет, Встроенная вспышка:нет, ",белый
"Смартфон Samsung Galaxy Z Flip 3 (new) 128GB, black",549890,Android 11,"6.7""",128Гб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
Смартфон BQ 6630L Magic L Deep Blue,60000,Android 10,"6.53""",32МБ,"12 + 0,3",8,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:6630L, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",
Смартфон BQ 6022G Aura Violet,36666,Android,"5.99""",16Гб,8,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:960x480, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:6022G, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",фиолетовый
"Смартфон Samsung Galaxy Z Flip 3 (new) 128GB, beige",549890,Android 11,"6.7""",128Мб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Samsung Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",бежевый
"Смартфон Samsung Galaxy Z Flip 3 (new) 256GB, green",579890,Android 11,"6.7""",256Гб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",зеленый
Смартфон BQ 5533G Fresh Sea Wave Blue,32200,Android 10,"5.45""",16Гб,2,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:960x480, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:5533G, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",голубой
"Смартфон Xiaomi Mi 11 Lite 5G NE 8/128GB, Peach Pink",189990,Android 11,"6.55""",128Мб,64,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:11 Lite, Серия смартфона:Mi 11 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Серийная съемка. AI SkyScaping, ",Peach Pink
"Смартфон Samsung Galaxy Z Flip 3 (new) 128GB, black",549890,Android 11,"6.7""",128Гб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Samsung Galaxy Z Flip 3 (new) 256GB, beige",579890,Android 11,"6.7""",256Мб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",бежевый
"Смартфон Vivo Y53S (128GB), Fantastic Rainbow",134990,Funtouch ОS 11.1,"6.58""",128Гб,64 + 2 + 2,16,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2408 × 1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Y53S, Цвет передней панели:чёрный, Серия смартфона:Y53S, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим (фронтальная и основная камеры), портретный режим, фото, видео, панорамная съёмка, замедленная съёмка, таймлапс, профессиональный режим, DOC, 64 Мп съёмка, ",Fantastic Rainbow
"Смартфон Samsung Galaxy Z Flip 3 (new) 256GB, green",579890,Android 11,"6.7""",256Гб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",зеленый
Смартфон BQ 5533G Fresh Graphite,32200,Android 10,"5.45""",16Гб,2,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:960x480, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:5533G, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",Graphite
"Смартфон Xiaomi Mi 11 Lite 5G NE 8/256GB, Snowflake White",209990,Android 11,"6.55""",128Гб,64,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:11 Lite, Серия смартфона:Mi 11 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Серийная съемка. AI SkyScaping, ",белый
"Смартфон Xiaomi Mi 11 Lite 5G NE 8/256GB, Bubblegum Blue",209990,Android 11,"6.55""",128Гб,64,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:11 Lite, Серия смартфона:Mi 11 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Серийная съемка. AI SkyScaping, ",голубой
"Смартфон Xiaomi Mi 11 Lite 5G NE 8/128GB, Bubblegum Blue",189990,Android 11,"6.55""",128Гб,64,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:11 Lite, Серия смартфона:Mi 11 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Серийная съемка. AI SkyScaping, ",голубой
"Смартфон Xiaomi Mi 11 Lite 5G NE 6/128GB, Bubblegum Blue",179990,Android 11,"6.55""",128Гб,64,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:11 Lite, Серия смартфона:Mi 11 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Серийная съемка. AI SkyScaping, ",голубой
"Смартфон Xiaomi Mi 11 Lite 5G NE 8/128GB, Truffle Black",189990,Android 11,"6.55""",128Гб,64,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:11 Lite, Серия смартфона:Mi 11 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Серийная съемка. AI SkyScaping, ",голубой
"Смартфон Xiaomi Mi 11 Lite 5G NE 8/128GB, Snowflake White",189990,Android 11,"6.55""",128Гб,64,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:11 Lite, Серия смартфона:Mi 11 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Серийная съемка. AI SkyScaping, ",белый
"Смартфон Xiaomi Poco X3 Pro 6/128GB, Frost Blue",119990,Android 11,"6.67""",128Гб,48 МП + 8 МП + 2 МП + 2 МП,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Poco X3 Pro, Цвет передней панели:чёрный, Серия смартфона:Poco X3 Pro, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:есть, ",синий
