"Смартфон Xiaomi Mi 11 Lite 5G NE, 6Gb, 128Gb, Truffle Black (2109119DG)",179990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 128Gb, Bubblegum Blue (2109119DG)",189990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,"Синий, Черный"
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Phantom Black (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 256Gb, Truffle Black (2109119DG)",209990₸,Android,6.55,256 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 128Gb, Truffle Black (2109119DG)",189990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 256Gb, Lavender (SM-F711B)",545100₸,Android,6.7,256 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Фиолетовый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 256Gb, Phantom Silver (SM-F926B)",845900₸,Android,6.2,256 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Серебристый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 512Gb, Phantom Silver (SM-F926B)",939900₸,Android,6.2,512 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Серебристый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 512Gb, Phantom Black (SM-F926B)",939900₸,Android,6.2,512 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Lavender (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Black (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Samsung Galaxy Z Fold3 5G, 256Gb, Phantom Black (SM-F926B)",845900₸,Android,6.2,256 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Cream (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Бежевый, Черный"
