Country,ISO
Афганистан,AFG
Албания,ALB
Антарктида,ATA
Алжир,DZA
Американское Самоа,ASM
Андорра,AND
Ангола,AGO
Антигуа и Барбуда,ATG
Азербайджан,AZE
Аргентина,ARG
Австралия,AUS
Австрия,AUT
Багамы,BHS
Бахрейн,BHR
Бангладеш,BGD
Армения,ARM
Барбадос,BRB
Бельгия,BEL
Бермуды,BMU
Бутан,BTN
Боливия,BOL
Босния и Герцеговина,BIH
Ботсвана,BWA
Остров Буве,BVT
Бразилия,BRA
Белиз,BLZ
Британская территория в Индийском океане,IOT
Соломоновы Острова,SLB
Британские Виргинские острова,VGB
Бруней,BRN
Болгария,BGR
Мьянма,MMR
Бурунди,BDI
Белоруссия,BLR
Камбоджа,KHM
Камерун,CMR
Канада,CAN
Кабо-Верде,CPV
Каймановы острова,CYM
ЦАР,CAF
Шри-Ланка,LKA
Чад,TCD
Чили,CHL
КНР,CHN
Китай,CHN
Китайская Республика,TWN
Остров Рождества,CXR
Кокосовые острова,CCK
Колумбия,COL
Коморы,COM
Майотта,MYT
Республика Конго,COG
Демократическая Республика Конго,COD
Острова Кука,COK
Коста-Рика,CRI
Хорватия,HRV
Куба,CUB
Кипр,CYP
Чехия,CZE
Бенин,BEN
Дания,DNK
Доминика,DMA
Доминиканская Республика,DOM
Эквадор,ECU
Сальвадор,SLV
Экваториальная Гвинея,GNQ
Эфиопия,ETH
Эритрея,ERI
Эстония,EST
Фарерские острова,FRO
Фолклендские острова,FLK
Южная Георгия и Южные Сандвичевы острова,SGS
Фиджи,FJI
Финляндия,FIN
Аландские острова,ALA
Франция,FRA
Французская Гвиана,GUF
Французская Полинезия,PYF
Французские Южные и Антарктические Территории,ATF
Джибути,DJI
Габон,GAB
Грузия,GEO
Гамбия,GMB
Палестина,PSE
Германия,DEU
Гана,GHA
Гибралтар,GIB
Кирибати,KIR
Греция,GRC
Гренландия,GRL
Гренада,GRD
Гваделупа,GLP
Гуам,GUM
Гватемала,GTM
Гвинея,GIN
Гайана,GUY
Гаити,HTI
Херд и Макдональд,HMD
Ватикан,VAT
Гондурас,HND
Гонконг,HKG
Венгрия,HUN
Исландия,ISL
Индия,IND
Индонезия,IDN
Иран,IRN
Ирак,IRQ
Ирландия,IRL
Израиль,ISR
Италия,ITA
Кот-д’Ивуар,CIV
Ямайка,JAM
Япония,JPN
Казахстан,KAZ
Иордания,JOR
Кения,KEN
КНДР,PRK
Республика Корея,KOR
Кувейт,KWT
Киргизия,KGZ
Лаос,LAO
Ливан,LBN
Лесото,LSO
Латвия,LVA
Либерия,LBR
Ливия,LBY
Лихтенштейн,LIE
Литва,LTU
Люксембург,LUX
Макао,MAC
Мадагаскар,MDG
Малави,MWI
Малайзия,MYS
Мальдивы,MDV
Мали,MLI
Мальта,MLT
Мартиника,MTQ
Мавритания,MRT
Маврикий,MUS
Мексика,MEX
Монако,MCO
Монголия,MNG
Молдавия,MDA
Черногория,MNE
Монтсеррат,MSR
Марокко,MAR
Мозамбик,MOZ
Оман,OMN
Намибия,NAM
Науру,NRU
Непал,NPL
Нидерланды,NLD
Нидерландские Антильские острова,ANT
Аруба,ABW
Новая Каледония,NCL
Вануату,VUT
Новая Зеландия,NZL
Никарагуа,NIC
Нигер,NER
Нигерия,NGA
Ниуэ,NIU
Остров Норфолк,NFK
Норвегия,NOR
Северные Марианские острова,MNP
Внешние малые острова (США),UMI
Микронезия,FSM
Маршалловы Острова,MHL
Палау,PLW
Пакистан,PAK
Панама,PAN
Папуа — Новая Гвинея,PNG
Парагвай,PRY
Перу,PER
Филиппины,PHL
Острова Питкэрн,PCN
Польша,POL
Португалия,PRT
Гвинея-Бисау,GNB
Восточный Тимор,TLS
Пуэрто-Рико,PRI
Катар,QAT
Реюньон,REU
Румыния,ROU
Россия,RUS
Руанда,RWA
Остров Святой Елены,SHN
Сент-Китс и Невис,KNA
Ангилья,AIA
Сент-Люсия,LCA
Сен-Пьер и Микелон,SPM
Сент-Винсент и Гренадины,VCT
Сан-Марино,SMR
Сан-Томе и Принсипи,STP
Саудовская Аравия,SAU
Сенегал,SEN
Сербия,SRB
Сейшельские Острова,SYC
Сьерра-Леоне,SLE
Сингапур,SGP
Словакия,SVK
Вьетнам,VNM
Словения,SVN
Сомали,SOM
ЮАР,ZAF
Зимбабве,ZWE
Испания,ESP
Западная Сахара,ESH
Судан,SDN
Суринам,SUR
Шпицберген и Ян-Майен,SJM
Свазиленд,SWZ
Швеция,SWE
Швейцария,CHE
Сирия,SYR
Таджикистан,TJK
Таиланд,THA
Того,TGO
Токелау,TKL
Тонга,TON
Тринидад и Тобаго,TTO
ОАЭ,ARE
Тунис,TUN
Турция,TUR
Туркмения,TKM
Тёркс и Кайкос,TCA
Тувалу,TUV
Уганда,UGA
Украина,UKR
Республика Македония,MKD
СССР,SUN
Египет,EGY
Великобритания,GBR
Танзания,TZA
США,USA
Американские Виргинские острова,VIR
Буркина Фасо,BFA
Уругвай,URY
Узбекистан,UZB
Венесуэла,VEN
Уоллис и Футуна,WLF
Самоа,WSM
Йемен,YEM
Сербия и Черногория,SCG
Замбия,ZMB
Южная Корея,KOR
