Title,Price,Operating_system,Display_diagonal,Memory,Main_Camera,Front_Camera,Delivery,Manufacturer,Manufacturer_country,Features,Color
Смартфон Apple iPhone 11 128GB Black Slim Box,349890,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Черный
Смартфон Apple iPhone 11 128GB Green Slim Box,349890,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Зеленый
Смартфон Apple iPhone 11 128GB Product Red Slim Box,349890,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Красный
Смартфон Apple iPhone 11 128GB Purple Slim Box,349890,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Фиолетовый
Смартфон Apple iPhone 11 128GB White Slim Box,349890,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Белый
Смартфон Apple iPhone 11 64GB Black Slim Box,314890,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Черный
Смартфон Apple iPhone 11 64GB Green Slim Box,299890,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Зеленый
Смартфон Apple iPhone 11 64GB Product Red Slim Box,299890,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Красный
Смартфон Apple iPhone 11 64GB Purple Slim Box,314890,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Фиолетовый
Смартфон Apple iPhone 11 64GB White Slim Box,314890,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер",Белый
