Title,Price,Operating system,Display diagonal,Memory,Main camera,Front camera,Features,Color,Weight,Battery,Manufacturer
Смартфон Apple iPhone 12 Pro Max 256Gb синий,609000,iOS 14,6.7 дюйм,256 ГБ,"Фотокамера
12 + 12 + 12 Мпикс (тройная)
Функции камеры
широкоугольный объектив, панорамная съемка (до 63 Мп), оптическая стабилизация, автофокус, привязка фотографий к месту съемки, оптический и цифровой зум, режим «Портрет»
Фронтальная камера
TrueDepth камера 12 Мпикс",TrueDepth камера 12 Мпикс,Нет,синий,226 г,"3687 мАч
80 ч",Apple
Смартфон Xiaomi Redmi 9T 4/128Gb серый,84950,Android 10,6.53 дюйм,128 ГБ,"Фотокамера
48 Мп + 8 Мп + 2 Мп + 2 Мп
Видеосъемка
1920x1080, 30 кадров в секунду
Фронтальная камера
есть, 8 МП
Форматы аудио
WAV, AAC, FM-радио, WMA, MP3","есть, 8 МП",ИК-бластер,серый,198 г,6000 мАч,Xiaomi
Смартфон Apple iPhone 11 128Gb Slim Box черный,389000,iOS 13,6.1 дюйм,128 ГБ,"Фотокамера
12 + 12 Мпикс (двойная)
Функции камеры
широкоугольный объектив, панорамная съемка (до 63 Мп), оптическая стабилизация, автофокус, привязка фотографий к месту съемки, оптический и цифровой зум, режим «Портрет», режим Smart HDR
Видеосъемка
4K при 24, 30 или 60 кадрах/с, 1080p при 30 или 60 кадрах/с, 720p при 30 кадрах/с, замедленное видео для 1080p при 120 или 240 кадрах/с
Фронтальная камера
TrueDepth камера 12 Мпикс, вспышка Retina Flash, запись видео 1080p, Smart HDR, режим «Портрет», Animoji, Memoji
Форматы аудио
AAC, полифония, MP3, FLAC","TrueDepth камера 12 Мпикс, вспышка Retina Flash, запись видео 1080p, Smart HDR, режим «Портрет», Animoji, Memoji","Face ID, защита IP68, корпус из устойчивого к царапинам стекла",черный,194 г,"3110 мАч
65 ч",Apple
Смартфон Apple iPhone 11 64Gb Slim Box черный,315470,iOS 13,6.1 дюйм,64 ГБ,"Фотокамера
12 + 12 Мпикс (двойная)
Функции камеры
широкоугольный объектив, панорамная съемка (до 63 Мп), оптическая стабилизация, автофокус, привязка фотографий к месту съемки, оптический и цифровой зум, режим «Портрет», режим Smart HDR
Видеосъемка
4K при 24, 30 или 60 кадрах/с, 1080p при 30 или 60 кадрах/с, 720p при 30 кадрах/с, замедленное видео для 1080p при 120 или 240 кадрах/с
Фронтальная камера
TrueDepth камера 12 Мпикс, вспышка Retina Flash, запись видео 1080p, Smart HDR, режим «Портрет», Animoji, Memoji
Форматы аудио
AAC, полифония, MP3, FLAC","TrueDepth камера 12 Мпикс, вспышка Retina Flash, запись видео 1080p, Smart HDR, режим «Портрет», Animoji, Memoji","Face ID, защита IP68, корпус из устойчивого к царапинам стекла",черный,194 г,"3110 мАч
65 ч",Apple
Смартфон Apple iPhone 12 Pro 128Gb синий,529900,iOS 14,6.1 дюйм,128 ГБ,"Фотокамера
12 + 12 + 12 Мпикс (тройная)
Функции камеры
широкоугольный объектив, панорамная съемка (до 63 Мп), оптическая стабилизация, автофокус, привязка фотографий к месту съемки, оптический и цифровой зум, режим «Портрет»
Фронтальная камера
TrueDepth камера 12 Мпикс",TrueDepth камера 12 Мпикс,Нет,синий,187 г,"2775 мАч
65 ч",Apple
Смартфон Samsung Galaxy A32 4/128Gb черный,119278,Android 11,6.4 дюйм,128 ГБ,"Фотокамера
64 Мп + 8 Мп + 5 Мп + 5 Мп
Видеосъемка
1920х1080 пикс 30 к/с
Фронтальная камера
20 Мп
Форматы аудио
WAV, AAC, WMA, MP3, APE",20 Мп,Нет,черный,184 г,5000 мАч,Samsung
Смартфон Poco X3 Pro 8/256Gb черный,127939,Android 11,6.67 дюйм,256 ГБ,"Фотокамера
48 Мп, 8 Мп, 2 Мп, 2 Мп
Функции камеры
автофокус
Видеосъемка
3840x2160
Фронтальная камера
20 Мп",20 Мп,Нет,черный,215 г,5160 мАч,Poco
Смартфон Apple iPhone 11 128Gb Slim Box белый,387000,iOS 13,6.1 дюйм,128 ГБ,"Фотокамера
12 + 12 Мпикс (двойная)
Функции камеры
широкоугольный объектив, панорамная съемка (до 63 Мп), оптическая стабилизация, автофокус, привязка фотографий к месту съемки, оптический и цифровой зум, режим «Портрет», режим Smart HDR
Видеосъемка
4K при 24, 30 или 60 кадрах/с, 1080p при 30 или 60 кадрах/с, 720p при 30 кадрах/с, замедленное видео для 1080p при 120 или 240 кадрах/с
Фронтальная камера
TrueDepth камера 12 Мпикс, вспышка Retina Flash, запись видео 1080p, Smart HDR, режим «Портрет», Animoji, Memoji
Форматы аудио
AAC, полифония, MP3, FLAC","TrueDepth камера 12 Мпикс, вспышка Retina Flash, запись видео 1080p, Smart HDR, режим «Портрет», Animoji, Memoji","Face ID, защита IP68, корпус из устойчивого к царапинам стекла",белый,194 г,"3110 мАч
65 ч",Apple
Смартфон Xiaomi Redmi 9A 2/32Gb серый,48990,Android 10,6.53 дюйм,32 ГБ,"Фотокамера
13 МП
Функции камеры
автофокус
Фронтальная камера
5 Мпикс",5 Мпикс,"Особенности
стекло Corning Gorilla Glass; разблокировка по лицу",серый,194 г,5000 мАч,Xiaomi
Смартфон Xiaomi Redmi Note 10S 6/128Gb серый,119990,Android 11 R,6.43 дюйм,128 ГБ,"Фотокамера
64 Мп + 8 Мп + 2 Мп + 2 Мп
Видеосъемка
3840x2160, 30 кадров в секунду
Фронтальная камера
есть, 13 Мп
Форматы аудио
WAV, AAC, стереодинамики, WMA, MP3","есть, 13 Мп",Нет,серый,178 г,5000 мАч,Xiaomi
