Title,Price,Operating system,Display diagonal,Memory,Main Camera,Front Camera,Delivery,Manufacturer,Manufacturer's country,Features
Смартфон Apple iPhone 11 128GB Black Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB Green Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB Product Red Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB Purple Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB White Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Black Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Green Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Product Red Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Purple Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB White Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Yellow Slim Box,299 800 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 12 128GB (PRODUCT)RED,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Black,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Blue,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Green,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Purple,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Поддержка технологии быстрой зарядки. Беспроводная зарядка. Датчики: датчик освещенности, датчик приближения, цифровой компас, G-сенсор (акселерометр), гироскоп, барометр, Face ID (распознавание лица с помощью камеры TrueDepth)"
Смартфон Apple iPhone 12 128GB White,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
