Country_name,Total_cases,Total_deaths,Total_recovered,Active_cases,New_cases,New_deaths,Total_tests,Population
USA,"78,017,402","926,029 ","47,998,370","29,093,003",,,"914,397,640","334,104,170 "
India,"42,272,014","502,905 ","40,660,202","1,108,907",,,"741,561,587","1,401,680,124 "
Brazil,"26,536,597","632,289 ","22,717,907","3,186,401",,,"63,776,166","214,973,669 "
France,"20,758,371","132,506 ","14,142,022","6,483,843",,,"231,648,947","65,504,333 "
UK,"17,803,325","158,318 ","15,246,943","2,398,064",,,"458,465,073","68,455,848 "
Russia,"12,982,023","336,023 ","10,624,954","2,021,046","+171,905",+609,"263,100,000","146,034,468 "
Turkey,"12,238,501","88,734 ","11,413,896","735,871",,,"133,974,200","85,788,865 "
Italy,"11,621,736","148,771 ","9,399,717","2,073,248",,,"176,176,489","60,319,735 "
Germany,"11,071,070","119,368 ","8,142,100","2,809,602","+11,197",+2,"89,622,218","84,212,064 "
Spain,"10,274,653","94,235 ","6,573,471","3,606,947",,,"66,213,858","46,783,720 "
Argentina,"8,589,879","122,684 ","8,165,948","301,247",,,"33,024,212","45,858,367 "
Iran,"6,619,085","132,934 ","6,171,587","314,564","+39,819",+104,"45,505,835","85,710,180 "
Colombia,"5,966,706","135,757 ","5,757,588","73,361",,,"32,460,044","51,749,299 "
Poland,"5,188,184","106,607 ","4,330,328","751,249","+24,404",+10,"31,560,615","37,780,363 "
Mexico,"5,151,525","309,546 ","4,316,077","525,902","+10,234",+129,"14,420,955","131,096,820 "
Netherlands,"4,969,660","21,336 ","3,289,330","1,658,994","+77,619",+4,"21,107,399","17,195,461 "
Indonesia,"4,542,601","144,636 ","4,191,604","206,361","+26,121",+82,"74,892,949","278,144,234 "
Ukraine,"4,307,437","101,392 ","3,681,092","524,953","+23,378",+115,"18,603,958","43,313,820 "
South Africa,"3,623,962","95,835 ","3,480,249","47,878",,,"22,464,999","60,503,129 "
Philippines,"3,616,387","54,538 ","3,445,129","116,720","+6,835",+12,"27,558,948","111,910,688 "
Peru,"3,363,489","206,984 ",N/A,N/A,,,"25,933,414","33,705,451 "
Japan,"3,300,589","19,324 ","2,450,601","830,664","+92,865",+67,"34,930,054","125,857,649 "
Belgium,"3,296,038","29,227 ","2,177,765","1,089,046",,,"30,615,667","11,670,224 "
Czechia,"3,243,698","37,478 ","2,915,178","291,042","+9,060",+10,"51,045,595","10,740,731 "
Israel,"3,196,548","9,180 ","2,839,623","347,745",,,"41,373,364","9,326,000 "
Canada,"3,125,330","34,722 ","2,912,207","178,401",,,"56,795,249","38,270,858 "
Portugal,"2,915,971","20,222 ","2,266,939","628,810",,,"33,409,187","10,149,191 "
Malaysia,"2,914,220","32,034 ","2,812,614","69,572",,,"44,986,306","33,028,384 "
Australia,"2,750,562","4,243 ","2,466,254","280,065","+21,155",+42,"61,690,281","25,972,513 "
Thailand,"2,507,471","22,306 ","2,392,384","92,781","+10,470",+12,"17,270,775","70,079,878 "
Switzerland,"2,423,270","12,909 ","1,509,734","900,627","+9,395",+1,"17,536,943","8,755,750 "
Romania,"2,418,779","60,723 ","1,990,254","367,802","+16,958",+81,"19,733,542","19,032,577 "
Chile,"2,371,833","39,987 ","1,781,084","550,762",,,"30,693,072","19,378,372 "
Vietnam,"2,358,786","38,424 ","2,122,380","197,982","+16,815",+100,"77,341,557","98,737,845 "
Sweden,"2,287,785","16,143 ","1,420,900","850,742",,,"17,101,699","10,199,889 "
Iraq,"2,253,484","24,543 ","2,154,262","74,679","+5,285",+27,"17,595,472","41,663,189 "
Austria,"2,084,227","14,246 ","1,719,562","350,419","+27,299",+14,"147,226,437","9,088,513 "
Greece,"2,047,849","24,094 ","1,806,264","217,491",,,"58,922,413","10,341,682 "
Denmark,"1,947,091","3,909 ","1,377,630","565,552","+33,013",+28,"121,652,229","5,824,798 "
Bangladesh,"1,870,901","28,627 ","1,612,057","230,217","+9,369",+38,"12,770,880","167,310,650 "
Serbia,"1,779,782","14,054 ","1,487,630","278,098","+11,439",+63,"8,351,232","8,681,121 "
Hungary,"1,650,562","41,975 ","1,377,097","231,490","+33,716",+234,"10,320,134","9,621,147 "
Pakistan,"1,463,111","29,516 ","1,344,403","89,192","+3,338",+38,"25,422,966","227,740,176 "
Jordan,"1,330,107","13,320 ","1,179,709","137,078",,,"15,072,131","10,364,956 "
Georgia,"1,325,838","15,246 ","1,106,221","204,371","+11,235",+34,"14,939,001","3,976,929 "
Kazakhstan,"1,270,954","13,356 ","1,156,981","100,617",,,"11,575,012","19,135,477 "
Ireland,"1,205,914","6,228 ","924,370","275,316",,,"11,015,471","5,025,898 "
Morocco,"1,147,243","15,593 ","1,104,090","27,560",,,"11,237,010","37,609,421 "
Slovakia,"1,127,020","17,973 ","903,463","205,584","+9,965",+15,"5,803,851","5,463,868 "
Cuba,"1,053,560","8,439 ","1,037,798","7,323",,,"12,786,630","11,315,567 "
S. Korea,"1,044,963","6,886 ","654,621","383,456","+35,275",+13,"15,804,065","51,339,700 "
Bulgaria,"995,436","33,770 ","702,143","259,523",,,"8,669,990","6,864,843 "
Croatia,"985,050","14,194 ","926,278","44,578","+1,270",+57,"4,331,339","4,064,804 "
Lebanon,"971,774","9,711 ","682,977","279,086",,,"4,795,578","6,776,593 "
Nepal,"967,427","11,827 ","915,489","40,111","+1,022",+13,"5,283,372","29,973,581 "
Tunisia,"944,175","26,679 ","831,091","86,405",,,"4,131,634","12,016,182 "
Norway,"893,560","1,467 ","88,952","803,141",,,"9,852,076","5,488,972 "
Bolivia,"871,749","21,129 ","720,322","130,298",,,"2,653,186","11,927,347 "
UAE,"859,361","2,265 ","786,642","70,454","+1,704",+1,"128,621,662","10,081,287 "
Slovenia,"799,955","5,990 ","606,198","187,767","+5,512",+15,"2,527,899","2,079,395 "
Belarus,"783,260","6,159 ","770,567","6,534","+5,869",+12,"11,967,413","9,444,356 "
Ecuador,"766,398","34,730 ",N/A,N/A,,,"2,470,170","18,070,918 "
Lithuania,"756,206","7,999 ","636,077","112,130","+6,463",+11,"7,423,424","2,661,578 "
Panama,"727,413","7,844 ","678,478","41,091",,,"5,313,027","4,423,239 "
Uruguay,"726,042","6,637 ","656,137","63,268",,,"5,369,698","3,492,968 "
Costa Rica,"721,971","7,641 ","580,204","134,126",,,"3,324,431","5,168,437 "
Saudi Arabia,"712,644","8,957 ","670,780","32,907","+3,747",+3,"38,814,099","35,679,734 "
Guatemala,"711,076","16,501 ","650,321","44,254",,,"3,658,004","18,444,714 "
Azerbaijan,"703,334","8,898 ","648,512","45,924","+4,680",+27,"6,278,899","10,285,187 "
Sri Lanka,"620,732","15,621 ","581,659","23,452","+2,212",+26,"6,155,804","21,556,723 "
Paraguay,"607,947","17,605 ","533,190","57,152",,,"2,428,300","7,272,489 "
Kuwait,"578,819","2,510 ","522,882","53,427",,,"7,110,604","4,371,440 "
